Scenario,Illuminance(lux),FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),FanEnergy(kBtu/sf),HeatingEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),FanCost($),HeatingCost($),CoolingCost($),FanCost($/sf),HeatingCost($/sf),CoolingCost($/sf),AnnualEnergy(kBtu),AnnualCost($),AnnualEnergy(kBtu/sf),AnnualCost($/sf)
33,17158418.05,5136.92,21312.03,28325.88,2.14,8.88,11.8,168.61,236.56,929.77,0.07,0.1,0.39,54774.84,1334.95,22.82,0.56
34,17875077.27,5420.37,20573.23,30212.5,2.26,8.57,12.59,177.92,228.36,991.69,0.07,0.1,0.41,56206.1,1397.97,23.42,0.58
35,17875077.27,5767.08,19812.17,32482.25,2.4,8.26,13.53,189.3,219.92,1066.2,0.08,0.09,0.44,58061.51,1475.41,24.19,0.61
36,17331794.15,4223.93,26631.57,21572.54,1.76,11.1,8.99,138.65,295.61,708.1,0.06,0.12,0.3,52428.05,1142.35,21.85,0.48
37,17331794.15,4475.07,25340.31,23415.75,1.86,10.56,9.76,146.89,281.28,768.6,0.06,0.12,0.32,53231.14,1196.76,22.18,0.5
38,17158418.05,4638.8,24632.35,24582.29,1.93,10.26,10.24,152.26,273.42,806.89,0.06,0.11,0.34,53853.43,1232.57,22.44,0.51
39,17158418.05,4897.22,23624.09,26393.17,2.04,9.84,11.0,160.75,262.23,866.33,0.07,0.11,0.36,54914.48,1289.3,22.88,0.54
40,17158418.05,5188.26,22679.09,28381.5,2.16,9.45,11.83,170.3,251.74,931.59,0.07,0.1,0.39,56248.84,1353.63,23.44,0.56
41,17875077.27,5471.37,21904.37,30274.13,2.28,9.13,12.61,179.59,243.14,993.72,0.07,0.1,0.41,57649.86,1416.45,24.02,0.59
42,17875077.27,5813.56,21119.33,32522.5,2.42,8.8,13.55,190.82,234.42,1067.52,0.08,0.1,0.44,59455.39,1492.77,24.77,0.62
43,17592228.7,4293.2,28028.64,21730.58,1.79,11.68,9.05,140.92,311.12,713.28,0.06,0.13,0.3,54052.42,1165.32,22.52,0.49
44,17592228.7,4553.99,26658.56,23651.12,1.9,11.11,9.85,149.48,295.91,776.32,0.06,0.12,0.32,54863.67,1221.71,22.86,0.51
45,17505617.62,4771.94,25688.06,25209.69,1.99,10.7,10.5,156.63,285.14,827.48,0.07,0.12,0.34,55669.69,1269.25,23.2,0.53
46,17444854.13,5017.88,24746.31,26927.62,2.09,10.31,11.22,164.71,274.68,883.87,0.07,0.11,0.37,56691.81,1323.26,23.62,0.55
47,17414467.9,5294.24,23850.1,28813.68,2.21,9.94,12.01,173.78,264.74,945.78,0.07,0.11,0.39,57958.02,1384.29,24.15,0.58
48,17772827.14,5592.56,23035.01,30807.85,2.33,9.6,12.84,183.57,255.69,1011.24,0.08,0.11,0.42,59435.42,1450.49,24.76,0.6
49,18099786.74,5907.27,22310.64,32873.64,2.46,9.3,13.7,193.9,247.65,1079.04,0.08,0.1,0.45,61091.56,1520.59,25.45,0.63
