Scenario,Illuminance(lux),FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),FanEnergy(kBtu/sf),HeatingEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),FanCost($),HeatingCost($),CoolingCost($),FanCost($/sf),HeatingCost($/sf),CoolingCost($/sf),AnnualEnergy(kBtu),AnnualCost($),AnnualEnergy(kBtu/sf),AnnualCost($/sf)
1,17991384.19,1939.37,99954.87,4206.18,0.81,41.65,1.75,74.68,819.63,161.98,0.03,0.34,0.07,106100.42,1056.29,44.21,0.44
2,17991384.19,1978.1,96407.03,5184.91,0.82,40.17,2.16,76.18,790.54,199.67,0.03,0.33,0.08,103570.04,1066.38,43.15,0.44
3,17991384.19,2029.72,93130.47,6243.85,0.85,38.8,2.6,78.16,763.67,240.45,0.03,0.32,0.1,101404.03,1082.28,42.25,0.45
4,18570390.88,2056.93,91131.47,6839.73,0.86,37.97,2.85,79.21,747.28,263.39,0.03,0.31,0.11,100028.12,1089.88,41.68,0.45
5,19149772.61,2111.33,88496.31,7811.19,0.88,36.87,3.25,81.31,725.67,300.81,0.03,0.3,0.13,98418.83,1107.78,41.01,0.46
6,19149772.61,2191.05,85422.31,9099.15,0.91,35.59,3.79,84.38,700.46,350.4,0.04,0.29,0.15,96712.51,1135.24,40.3,0.47
7,19149772.61,2291.35,82370.35,10579.29,0.95,34.32,4.41,88.24,675.44,407.4,0.04,0.28,0.17,95241.0,1171.08,39.68,0.49
8,17991384.19,2041.76,107079.16,4129.4,0.85,44.62,1.72,78.63,878.05,159.02,0.03,0.37,0.07,113250.32,1115.7,47.19,0.46
9,17991384.19,2076.63,103470.14,5079.9,0.87,43.11,2.12,79.97,848.46,195.62,0.03,0.35,0.08,110626.67,1124.05,46.09,0.47
10,17991384.19,2123.84,100162.31,6100.52,0.88,41.73,2.54,81.79,821.33,234.93,0.03,0.34,0.1,108386.67,1138.05,45.16,0.47
11,18570390.88,2149.84,98081.37,6698.43,0.9,40.87,2.79,82.79,804.27,257.95,0.03,0.34,0.11,106929.65,1145.01,44.55,0.48
12,19149772.61,2202.44,95361.26,7666.86,0.92,39.73,3.19,84.82,781.96,295.25,0.04,0.33,0.12,105230.56,1162.02,43.85,0.48
13,19149772.61,2278.4,92206.24,8932.6,0.95,38.42,3.72,87.74,756.09,343.99,0.04,0.32,0.14,103417.24,1187.82,43.09,0.49
14,19149772.61,2372.49,89108.21,10360.78,0.99,37.13,4.32,91.36,730.69,398.99,0.04,0.3,0.17,101841.48,1221.04,42.43,0.51
15,18639429.33,2144.05,114158.74,4057.76,0.89,47.57,1.69,82.57,936.1,156.26,0.03,0.39,0.07,120360.55,1174.93,50.15,0.49
16,18639429.33,2175.83,110451.31,4993.59,0.91,46.02,2.08,83.79,905.7,192.3,0.03,0.38,0.08,117620.72,1181.79,49.01,0.49
17,18473587.48,2198.48,108212.73,5589.25,0.92,45.09,2.33,84.66,887.34,215.24,0.04,0.37,0.09,116000.47,1187.25,48.33,0.49
18,18473587.48,2243.83,104986.84,6573.62,0.93,43.74,2.74,86.41,860.89,253.15,0.04,0.36,0.11,113804.29,1200.45,47.42,0.5
19,18473587.48,2306.48,101718.08,7733.69,0.96,42.38,3.22,88.82,834.09,297.82,0.04,0.35,0.12,111758.25,1220.73,46.57,0.51
20,19149772.61,2367.04,98923.87,8787.71,0.99,41.22,3.66,91.15,811.18,338.41,0.04,0.34,0.14,110078.62,1240.74,45.87,0.52
21,19149772.61,2455.51,95789.62,10167.68,1.02,39.91,4.24,94.56,785.47,391.55,0.04,0.33,0.16,108412.81,1271.59,45.17,0.53
22,18639429.33,2246.08,121079.22,4008.56,0.94,50.45,1.67,86.5,992.85,154.37,0.04,0.41,0.06,127333.86,1233.71,53.06,0.51
23,18639429.33,2274.99,117318.32,4924.42,0.95,48.88,2.05,87.61,962.01,189.64,0.04,0.4,0.08,124517.73,1239.26,51.88,0.52
24,18473587.48,2295.96,115019.78,5513.32,0.96,47.92,2.3,88.42,943.16,212.32,0.04,0.39,0.09,122829.05,1243.89,51.18,0.52
25,18473587.48,2338.23,111769.06,6471.45,0.97,46.57,2.7,90.04,916.51,249.21,0.04,0.38,0.1,120578.74,1255.76,50.24,0.52
26,18473587.48,2397.62,108439.43,7609.95,1.0,45.18,3.17,92.33,889.2,293.06,0.04,0.37,0.12,118447.0,1274.59,49.35,0.53
