Scenario,Illuminance(lux),FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),FanEnergy(kBtu/sf),HeatingEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),FanCost($),HeatingCost($),CoolingCost($),FanCost($/sf),HeatingCost($/sf),CoolingCost($/sf),AnnualEnergy(kBtu),AnnualCost($),AnnualEnergy(kBtu/sf),AnnualCost($/sf)
27,19149772.61,2456.5,105560.19,8662.41,1.02,43.98,3.61,94.6,865.59,333.59,0.04,0.36,0.14,116679.1,1293.78,48.62,0.54
28,19149772.61,2540.77,102374.99,10010.43,1.06,42.66,4.17,97.84,839.47,385.5,0.04,0.35,0.16,114926.19,1322.82,47.89,0.55
29,18639429.33,2347.38,127892.47,3968.64,0.98,53.29,1.65,90.4,1048.72,152.83,0.04,0.44,0.06,134208.5,1291.95,55.92,0.54
30,18639429.33,2373.67,124079.82,4866.52,0.99,51.7,2.03,91.41,1017.45,187.41,0.04,0.42,0.08,131320.01,1296.27,54.72,0.54
31,18473587.48,2393.22,121725.9,5450.37,1.0,50.72,2.27,92.16,998.15,209.89,0.04,0.42,0.09,129569.48,1300.21,53.99,0.54
32,18473587.48,2432.98,118443.97,6388.95,1.01,49.35,2.66,93.69,971.24,246.04,0.04,0.4,0.1,127265.9,1310.97,53.03,0.55
33,18473587.48,2489.0,115070.97,7501.79,1.04,47.95,3.13,95.85,943.58,288.89,0.04,0.39,0.12,125061.76,1328.32,52.11,0.55
34,19149772.61,2546.48,112113.78,8553.84,1.06,46.71,3.56,98.06,919.33,329.4,0.04,0.38,0.14,123214.1,1346.8,51.34,0.56
35,19149772.61,2627.01,108883.8,9873.45,1.09,45.37,4.11,101.17,892.85,380.22,0.04,0.37,0.16,121384.26,1374.23,50.58,0.57
36,18639429.33,2447.8,134594.48,3936.95,1.02,56.08,1.64,94.26,1103.67,151.61,0.04,0.46,0.06,140979.23,1349.55,58.74,0.56
37,18639429.33,2471.73,130733.52,4818.96,1.03,54.47,2.01,95.19,1072.01,185.58,0.04,0.45,0.08,138024.21,1352.78,57.51,0.56
38,18473587.48,2489.91,128328.2,5397.5,1.04,53.47,2.25,95.89,1052.29,207.86,0.04,0.44,0.09,136215.6,1356.03,56.76,0.57
39,18473587.48,2528.17,124986.29,6331.53,1.05,52.08,2.64,97.36,1024.89,243.82,0.04,0.43,0.1,133845.99,1366.07,55.77,0.57
40,18473587.48,2580.5,121604.33,7409.39,1.08,50.67,3.09,99.37,997.16,285.33,0.04,0.42,0.12,131594.22,1381.86,54.83,0.58
41,19149772.61,2636.6,118572.47,8460.52,1.1,49.41,3.53,101.53,972.29,325.81,0.04,0.41,0.14,129669.59,1399.64,54.03,0.58
42,19149772.61,2713.48,115301.54,9751.82,1.13,48.04,4.06,104.49,945.47,375.54,0.04,0.39,0.16,127766.83,1425.51,53.24,0.59
43,18887762.3,2547.08,141078.07,3928.69,1.06,58.78,1.64,98.09,1156.84,151.29,0.04,0.48,0.06,147553.84,1406.22,61.48,0.59
44,18887762.3,2570.91,137031.22,4840.71,1.07,57.1,2.02,99.0,1123.66,186.41,0.04,0.47,0.08,144442.84,1409.07,60.18,0.59
45,18804912.57,2596.27,133904.2,5611.46,1.08,55.79,2.34,99.98,1098.01,216.09,0.04,0.46,0.09,142111.93,1414.09,59.21,0.59
46,18744296.76,2633.07,130727.06,6502.94,1.1,54.47,2.71,101.4,1071.96,250.43,0.04,0.45,0.1,139863.07,1423.79,58.28,0.59
47,18713984.65,2682.02,127491.83,7521.97,1.12,53.12,3.13,103.28,1045.43,289.67,0.04,0.44,0.12,137695.82,1438.38,57.37,0.6
48,19052104.34,2741.86,124313.92,8634.52,1.14,51.8,3.6,105.59,1019.37,332.51,0.04,0.42,0.14,135690.3,1457.47,56.54,0.61
49,19356897.22,2811.44,121244.94,9819.74,1.17,50.52,4.09,108.27,994.21,378.15,0.05,0.41,0.16,133876.12,1480.63,55.78,0.62
