para,U,SHGC,VT
73,1.7034,0.1,0.2
74,1.7034,0.1,0.3
75,1.7034,0.1,0.3
76,1.7034,0.1,0.4
77,1.7034,0.1,0.5
78,1.7034,0.1,0.6
79,1.7034,0.2,0.2
80,1.7034,0.2,0.3
81,1.7034,0.2,0.3
82,1.7034,0.2,0.4
83,1.7034,0.2,0.5
84,1.7034,0.2,0.6
85,1.7034,0.3,0.2
86,1.7034,0.3,0.3
87,1.7034,0.3,0.3
88,1.7034,0.3,0.4
89,1.7034,0.3,0.5
90,1.7034,0.3,0.6
91,1.7034,0.4,0.2
92,1.7034,0.4,0.3
93,1.7034,0.4,0.3
94,1.7034,0.4,0.4
95,1.7034,0.4,0.5
96,1.7034,0.4,0.6
97,1.7034,0.5,0.2
98,1.7034,0.5,0.3
99,1.7034,0.5,0.3
100,1.7034,0.5,0.4
101,1.7034,0.5,0.5
102,1.7034,0.5,0.6
103,1.7034,0.6,0.2
104,1.7034,0.6,0.3
105,1.7034,0.6,0.3
106,1.7034,0.6,0.4
107,1.7034,0.6,0.5
108,1.7034,0.6,0.6
109,2.2712,0.1,0.2
110,2.2712,0.1,0.3
111,2.2712,0.1,0.3
112,2.2712,0.1,0.4
113,2.2712,0.1,0.5
114,2.2712,0.1,0.6
115,2.2712,0.2,0.2
116,2.2712,0.2,0.3
117,2.2712,0.2,0.3
118,2.2712,0.2,0.4
119,2.2712,0.2,0.5
120,2.2712,0.2,0.6
121,2.2712,0.3,0.2
122,2.2712,0.3,0.3
123,2.2712,0.3,0.3
124,2.2712,0.3,0.4
125,2.2712,0.3,0.5
126,2.2712,0.3,0.6
127,2.2712,0.4,0.2
128,2.2712,0.4,0.3
129,2.2712,0.4,0.3
130,2.2712,0.4,0.4
131,2.2712,0.4,0.5
132,2.2712,0.4,0.6
133,2.2712,0.5,0.2
134,2.2712,0.5,0.3
135,2.2712,0.5,0.3
136,2.2712,0.5,0.4
137,2.2712,0.5,0.5
138,2.2712,0.5,0.6
139,2.2712,0.6,0.2
140,2.2712,0.6,0.3
141,2.2712,0.6,0.3
142,2.2712,0.6,0.4
143,2.2712,0.6,0.5
144,2.2712,0.6,0.6
145,2.839,0.1,0.2
146,2.839,0.1,0.3
147,2.839,0.1,0.3
148,2.839,0.1,0.4
149,2.839,0.1,0.5
150,2.839,0.1,0.6
151,2.839,0.2,0.2
152,2.839,0.2,0.3
153,2.839,0.2,0.3
154,2.839,0.2,0.4
155,2.839,0.2,0.5
156,2.839,0.2,0.6
157,2.839,0.3,0.2
158,2.839,0.3,0.3
159,2.839,0.3,0.3
160,2.839,0.3,0.4
161,2.839,0.3,0.5
162,2.839,0.3,0.6
163,2.839,0.4,0.2
164,2.839,0.4,0.3
165,2.839,0.4,0.3
166,2.839,0.4,0.4
167,2.839,0.4,0.5
168,2.839,0.4,0.6
169,2.839,0.5,0.2
170,2.839,0.5,0.3
171,2.839,0.5,0.3
172,2.839,0.5,0.4
173,2.839,0.5,0.5
174,2.839,0.5,0.6
175,2.839,0.6,0.2
176,2.839,0.6,0.3
177,2.839,0.6,0.3
178,2.839,0.6,0.4
179,2.839,0.6,0.5
180,2.839,0.6,0.6
181,3.4068,0.1,0.2
182,3.4068,0.1,0.3
183,3.4068,0.1,0.3
184,3.4068,0.1,0.4
185,3.4068,0.1,0.5
186,3.4068,0.1,0.6
187,3.4068,0.2,0.2
188,3.4068,0.2,0.3
189,3.4068,0.2,0.3
190,3.4068,0.2,0.4
191,3.4068,0.2,0.5
192,3.4068,0.2,0.6
193,3.4068,0.3,0.2
194,3.4068,0.3,0.3
195,3.4068,0.3,0.3
196,3.4068,0.3,0.4
197,3.4068,0.3,0.5
198,3.4068,0.3,0.6
199,3.4068,0.4,0.2
200,3.4068,0.4,0.3
201,3.4068,0.4,0.3
202,3.4068,0.4,0.4
203,3.4068,0.4,0.5
204,3.4068,0.4,0.6
205,3.4068,0.5,0.2
206,3.4068,0.5,0.3
207,3.4068,0.5,0.3
208,3.4068,0.5,0.4
209,3.4068,0.5,0.5
210,3.4068,0.5,0.6
211,3.4068,0.6,0.2
212,3.4068,0.6,0.3
213,3.4068,0.6,0.3
214,3.4068,0.6,0.4
215,3.4068,0.6,0.5
216,3.4068,0.6,0.6
